Genes,logFC,P.Value
HK1,-0.974850237,0.000165659
HK1,-0.813726515,3.47E-05
HK2,-1.123918516,3.43E-06
HK2,-0.684957596,0.000895871
HK2,1.93428684,7.05E-49
HK3,1.566192361,0.000602216
HK3,4.222679227,1.89E-83
HKDC1,-1.130578083,6.46E-05
HKDC1,-0.818868319,0.011725648
HLA-A,-0.690321514,0.00013122
HLA-A,-0.580144158,0.000192475
HLA-A,1.812194053,6.60E-06
HLA-A,1.605445028,3.18E-05
HLA-A,1.577928953,0.000110307
HLA-B,1.606526494,1.42E-05
HLA-B /// HLA-C,1.931027831,1.55E-05
HLA-C,1.74971404,1.02E-06
HLA-C,1.554427602,3.65E-05
HLA-DMB,-1.498259809,0.001436765
HLA-DOB,3.819524177,3.77E-06
HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// LOC105369230,-0.674922159,9.42E-05
HLA-F,-0.559001004,3.46E-05
HLA-F,3.066387561,5.48E-08
HLA-F,2.619634034,1.33E-07
HLA-F,2.731582157,1.51E-07
HLA-F,1.603266317,1.25E-06
HLA-F,3.469381389,1.33E-07
HLA-F,3.49686974,3.56E-07
HLA-F,2.28058729,4.77E-07
HLA-F,3.599070878,6.98E-07
HLA-F,1.503679565,2.90E-05
HLA-L,-0.502459686,0.009313434
HLCS,-0.728958046,9.92E-05
HLF,-0.920066999,1.01E-05
HLF,-0.598881797,0.002681494
HLF,-1.179852279,5.99E-05
HLF,-1.832668759,1.11E-121
HLF,-1.429481743,0.000176914
HLTF,-1.411933649,0.000367911
HLTF,-0.659033982,0.003690828
HLX,3.508166181,4.89E-09
HMBOX1,1.669480259,3.06E-07
HMBOX1,-0.647744768,0.017904734
HMBS,-0.726819593,5.93E-05
HMCES,-0.665646307,0.000545943
HMCN1,-1.369903026,4.36E-05
HMCN1,-0.714610102,7.56E-05
HMCN1,-1.401815521,7.82E-05
HMCN1,-0.764183135,8.56E-05
HMCN1,-0.891117039,9.28E-05
HMCN1,-1.358228935,0.000119249
HMCN1,-0.638329486,0.000130956
HMCN1,-1.154453471,0.000207373
HMCN1,-0.610922302,0.000224064
HMCN1,-0.853812864,0.000282844
HMCN1,-1.005595604,0.000319337
HMCN1,-0.992087108,0.000360256
HMCN1,-1.067122759,0.000371268
HMCN1,-0.764757031,0.00043744
HMCN1,-0.621056404,0.000465589
HMCN1,-0.754260578,0.000472107
HMCN1,-0.663636121,0.000491365
HMCN1,-0.566905458,0.000515274
HMCN1,-0.820038656,0.000519632
HMCN1,-0.645435689,0.000564384
HMCN1,-0.978280741,0.000632417
HMCN1,-0.72580765,0.000640155
HMCN1,-1.059284779,0.000660288
HMCN1,-0.691823194,0.000768634
HMCN1,-0.693662328,0.000831984
HMCN1,-1.078326801,0.001040626
HMCN1,-0.821962488,0.001058729
HMCN1,-1.081017804,0.001083557
HMCN1,-0.749931186,0.001242912
HMCN1,-0.612261642,0.001249954
HMCN1,-0.697902709,0.001398398
HMCN1,-0.648712615,0.00143422
HMCN1,-0.994201755,0.001499544
HMCN1,-0.89642578,0.001795797
HMCN1,-0.629511758,0.001836886
HMCN1,-0.720972139,0.001915115
HMCN1,-0.501510042,0.001917309
HMCN1,-0.676254933,0.001951582
HMCN1,-1.152129199,0.002011165
HMCN1,-0.666007453,0.002110177
HMCN1,-0.709952705,0.002202188
HMCN1,-0.573871831,0.002368992
HMCN1,-0.584213564,0.002486176
HMCN1,-0.518023604,0.00250272
HMCN1,-0.720864793,0.002827581
HMCN1,-0.585569681,0.002918999
HMCN1,-0.521079141,0.003075598
HMCN1,-0.772670283,0.003671477
HMCN1,-0.575845167,0.004243477
HMCN1,-0.554544522,0.011810726
HMCN1,-0.547328271,0.030902581
HMCN1,-0.530501205,0.000705921
HMCN1,-0.766991948,0.000253685
HMCN1,-0.511620468,0.005597017
HMCN2,3.720581631,1.02E-39
HMG20A,-0.605317995,0.004395182
HMG20A,-0.509080681,3.20E-09
HMG20B,-0.75241482,0.000423593
HMG20B,-0.638859276,0.000674564
HMG20B,-0.668177969,0.000906798
HMG20B,-0.521480671,0.000849258
HMGA1,-0.535168741,0.002461024
HMGA1,1.908334787,3.91E-76
HMGA1,-0.632277975,0.00963683
HMGA1B,1.909346118,3.18E-28
HMGA2,-0.80004095,1.45E-06
HMGA2,-0.790581347,0.000166947
HMGA2,3.066634013,1.24E-08
HMGA2,-0.851493446,2.23E-05
HMGA2,-0.578159405,0.001933864
HMGB1,-0.610839424,1.14E-05
HMGB1,-0.532627871,6.57E-05
HMGB1,-0.531670085,0.000122542
HMGB1,-0.501254559,0.000898455
HMGB1,-0.533091873,0.000371449
HMGB1,-0.551055714,0.000700243
HMGB1,-1.077590457,4.75E-06
HMGB1,-1.018387201,1.65E-05
HMGB1,-0.964591493,0.000103998
HMGB1,-1.268432778,0.000360762
HMGB2,-0.530922299,0.000762906
HMGB2,-0.682523489,0.000169766
HMGB2,3.066149548,8.51E-61
HMGB2,2.024369935,0.005615863
HMGB3,-0.646756132,1.33E-05
HMGB3,-0.612746159,1.77E-05
HMGB3,-0.742263736,5.55E-05
HMGB3,-0.576142861,0.000240677
HMGB3,-1.014461328,3.53E-05
HMGB3,-0.692207822,0.000232335
HMGB3,-1.157524103,6.13E-06
HMGB3,-0.972568265,0.000335735
HMGCLL1,-0.828013009,2.43E-05
HMGCLL1,-1.005658866,1.52E-22
HMGCLL1,-0.506325757,0.000598787
HMGCR,-1.36561579,1.34E-07
HMGCR,-1.189719281,5.64E-07
HMGCR,-0.881001493,1.47E-06
HMGCR,-0.642468374,8.55E-17
HMGCR,-1.181349681,0.000585979
HMGCS1,-1.146986819,1.17E-07
HMGCS1,-1.007332821,1.99E-06
HMGCS1,-0.616361447,0.001482034
HMGCS1,-1.256313092,1.25E-85
HMGCS1,-0.842028765,0.000333896
HMGCS1,-0.658149519,0.000566759
HMGCS1,-0.613686095,0.002081872
HMGCS1,-0.519090644,0.02111268
HMGCS2,-1.908757226,4.07E-10
HMGCS2,-1.269738047,1.79E-06
HMGN1,-0.549589605,5.85E-05
HMGN1,-0.530987726,6.99E-05
HMGN2,-1.740392774,8.64E-09
HMGN2,-1.259515492,4.70E-05
HMGN2P46,2.514080648,4.90E-06
HMGN3,-0.561686549,5.55E-05
HMGN3,-0.515822737,0.000525657
HMGN3,-0.510506715,0.030418574
HMGN5,-0.625877735,0.00031353
HMGXB4,-0.713155024,2.19E-08
HMGXB4,-0.500714343,0.00181707
HMMR,-0.517822101,0.001640695
HMOX1,2.972623746,1.19E-05
HMOX1,5.356912634,0
HMOX1,2.804901911,2.64E-05
HMOX1,3.470808095,0.024690303
HMP19,-0.680589462,0.000944982
HMP19,-0.560876545,5.34E-05
HMSD,2.839675606,0.035078341
HN1,-0.640853398,2.18E-05
HN1,-0.606421702,0.000807392
HN1L,-1.418919406,2.81E-08
HN1L,-0.850655791,5.93E-05
HN1L,-0.839007627,9.90E-06
HN1L,-0.765989606,9.76E-06
HN1L,-0.636580557,2.77E-05
HN1L,-1.025092774,5.62E-06
HN1L,-0.571572275,0.000614239
HNF1A,1.84548541,8.32E-05
HNF1A-AS1,3.719900553,0.014386806
HNF1AOS1,3.869662926,0.000217772
HNF1B,1.994631072,0.044675188
HNF4A,7.074687858,6.74E-06
HNF4A,-0.669117495,0.000698703
HNMT,-1.104433448,0.000442451
HNMT,-1.858359831,2.05E-28
HNMT,-0.998245726,0.000280767
HNMT,-0.579335774,0.000604483
HNRNPA0,-0.680014476,6.48E-06
HNRNPA0,-0.550162165,2.41E-05
HNRNPA0,-0.519181858,0.002031943
HNRNPA0,-1.00631167,1.21E-05
HNRNPA0,-1.035665748,3.45E-06
HNRNPA1,-0.810956588,0.000322179
HNRNPA2B1,-0.526620043,0.00015265
HNRNPA2B1,-0.8322031,0.00011341
HNRNPA2B1,-0.806602908,0.000945521
HNRNPA3,-1.187892802,9.30E-07
HNRNPA3,-0.8884506,6.99E-07
HNRNPA3,-0.872845481,1.54E-06
HNRNPA3,-0.619579273,1.33E-05
HNRNPA3,-0.78112813,4.44E-05
HNRNPA3,-0.641418101,0.000432154
HNRNPA3,-0.594738533,0.001031247
HNRNPA3,-0.556017716,0.001237322
HNRNPA3 /// HNRNPA3P1,-0.774464859,5.61E-05
HNRNPAB,-0.826481797,2.20E-06
HNRNPAB,-0.727283799,2.02E-06
HNRNPAB,-0.655081556,7.24E-06
HNRNPAB,-0.551642175,0.000340597
HNRNPAB,-0.59818749,0.002995967
HNRNPAB,-0.610501627,0.003782702
HNRNPAB,-0.646484699,0.003879219
HNRNPC,-0.553099918,1.80E-05
HNRNPC,-0.576827525,0.000110022
HNRNPC,-0.641555736,0.001378002
HNRNPC,-0.603163843,0.0021147
HNRNPD,-0.591609689,0.01753146
HNRNPD,-0.542274179,0.001191966
HNRNPD,-0.679146567,0.000395394
HNRNPD,-0.673618298,0.000652085
HNRNPDL,-0.739420135,7.74E-05
HNRNPDL,-0.67574047,0.000287107
HNRNPF,-0.543578145,2.09E-05
HNRNPF,-0.508930371,0.000205324
HNRNPF,-0.808644472,9.45E-05
HNRNPM,-0.55130591,8.08E-05
HNRNPM,-0.719752491,0.005106327
HNRNPM,-0.912069942,9.71E-05
HNRNPR,-1.254449047,1.64E-06
HNRNPR,-0.706747131,9.58E-06
HNRNPR,-1.076769726,5.79E-05
HNRNPR,-0.523924348,0.002992311
HNRNPR,-0.557618481,0.029833993
HNRNPU,-1.193180528,0.002540668
HNRNPU,-1.107686891,1.99E-07
HNRNPU,-0.878236897,1.01E-06
HNRNPU,-0.799184189,6.03E-06
HNRNPU,-0.602748256,8.55E-06
HNRNPU,-0.601153308,2.41E-05
HNRNPU,-0.60112485,1.93E-05
HNRNPU,-0.584049083,0.002649324
HNRNPU,-0.556387952,3.94E-05
HNRNPU,-0.570439888,0.006710847
HNRNPU,-0.939575389,0.000638714
HNRNPU,-0.566096471,0.002067793
HNRNPU,-0.706098679,0.003939283
HNRNPU,-0.728679201,0.007110528
HNRNPU,-0.509639069,0.001058255
HNRNPUL1,-0.641763536,0.000156287
HNRNPUL1,-0.525007723,0.000865879
HNRNPUL1,-1.077739502,0.002001828
HNRNPUL1,-1.085347146,0.003063507
HNRNPUL1,-1.295394925,0.011915323
HNRNPUL1,-0.887624326,0.000415565
HNRNPUL1,-0.826333778,0.000557884
HNRNPUL1,-0.67143674,0.00569143
HNRNPUL2,-0.565850632,3.24E-16
HNRPDL,-0.750753575,0.015187896
HOGA1,-0.522993115,0.000657861
HOGA1,-0.898858041,0.001324411
HOGA1,-0.7192117,0.000640023
HOMER1,-0.767956992,0.005485866
HOMER2,-0.51651935,0.002156969
HOMER2,-0.63790151,0.040190689
HOMER2,-0.914641787,0.009507192
HOMER2,-1.877161261,1.29E-89
HOMER2,-0.596441959,0.000579971
HOMER3,-0.705040285,0.002005979
HOMER3,-1.324346319,0.012677183
HOMER3,-0.698324856,0.002712651
HOMER3,-0.548621925,0.00892298
HOMEZ,-1.139080273,1.12E-09
HOOK3,-0.660267213,0.000303454
HOOK3,-0.729879467,9.49E-24
HOOK3,-0.860737878,7.33E-05
HOOK3,-0.669761004,0.000417661
HOOK3,-0.607798167,0.016846246
HOPX,-1.247580614,0.036190146
HOPX,-0.505865991,0.000757946
HOPX,-0.52729887,0.00138012
HORMAD2,5.866792605,2.00E-26
HOXA10,-1.064416219,3.07E-05
HOXA10,-0.592290949,0.005979967
HOXA7,-0.733501658,0.000321899
HOXA7,-0.646724729,0.00143263
HOXA7,-0.662694877,0.002672973
HOXB13,-0.73844464,0.000147517
HOXB13,-0.691836957,0.006666471
HOXB8,-0.534765668,0.001249276
HP,9.440307671,4.19E-20
HP,2.037553144,0.002268682
HP,3.551515009,0.008875564
HP1BP3,-0.508723194,0.002087993
HP1BP3,-0.767559747,0.029492568
HP1BP3,-0.504588788,0.001727547
HPCA,3.915802983,0.00903324
HPCA,-1.434110941,0.000507319
HPCA,-2.095039302,9.80E-127
HPCA,-0.973753426,9.07E-05
HPCAL1,-1.422915062,0.014694737
HPCAL1,-0.557859105,0.000319275
HPCAL1,-0.508686069,0.000981668
HPCAL1,-0.82323784,2.41E-05
HPCAL4,-1.082770366,0.001068405
HPCAL4,-2.344139545,7.30E-148
HPD,1.600996749,0.005385007
HPDL,-0.878543019,3.45E-05
HPDL,-0.512724787,0.000956611
HPGD,-0.516318392,0.000166527
HPGD,-3.204101224,2.56E-05
HPGD,-0.562714975,0.007315763
HPGDS,-1.987221442,0.046630688
HPRT1,-0.5333084,0.000806965
HPS3,-0.552818105,1.62E-05
HPS3,-0.512498512,5.27E-05
HPS4,-0.521430649,0.040896197
HPS6,-0.806864277,2.04E-06
HPSE,-1.237499985,0.000754087
HPSE,-0.59893531,0.003475418
HPSE,2.826813515,6.44E-19
HPX,1.889204534,2.51E-06
HPX,4.945694269,1.83E-13
HPYR1,4.759333272,0.000507612
HR,-0.582228621,0.000159957
HRAS,-0.931939463,4.22E-20
HRAS1,-0.506187988,0.041624423
HRASLS,-1.101518912,0.000431695
HRASLS,-0.559663943,0.000670799
HRASLS,-0.569820906,0.001249427
HRASLS5,-0.527902807,0.001461183
HRC,2.887109694,0.006278291
HRCT1,2.532648297,3.19E-05
HRH3,-1.277115546,4.68E-05
HRH3,-2.09959309,3.32E-49
HRH3,-0.924736838,8.99E-05
HRH4,5.3850697,0.003279829
HRK,-1.623889625,1.57E-34
HROB,1.808873883,0.024131458
HRSP12,-0.713012,0.00188178
HRSP12,-1.218184469,0.00123608
HRSP12,-0.751220322,0.000141558
HS2ST1,-0.853807832,6.07E-06
HS2ST1,-0.700228262,2.06E-05
HS2ST1,-0.514676828,0.000136814
HS2ST1,-1.664154486,0.014959992
HS2ST1,-0.846634131,3.89E-05
HS2ST1,-0.509126682,0.000508319
HS2ST1,-0.608543499,0.001995631
HS2ST1,-0.524381699,0.000874268
HS2ST1,-0.704132725,5.00E-05
HS2ST1,-0.832821392,0.000165806
HS3ST1,-0.769518515,0.000848876
HS3ST2,-0.58142451,0.000344555
HS3ST2,-0.512177082,0.000514239
HS3ST3A1,2.290095852,0.003193614
HS3ST3B1,2.638769291,0.000963134
HS3ST4,-0.707594574,4.39E-06
HS6ST1,-1.26634236,6.00E-08
HS6ST1,-1.249157561,1.23E-07
HS6ST1,-1.302723981,0.007420185
HS6ST1,-0.611740372,0.000306982
HS6ST1,-0.558848865,0.000770793
HS6ST1P1,-2.055972423,0.002343219
HS6ST2,-0.762307995,4.34E-06
HS6ST2,-0.739646925,0.000120798
HS6ST2,-0.564104763,0.000128245
HS6ST2,1.864518035,0.02679936
HS6ST2,-0.55992153,0.000815961
HS6ST2,-1.008533318,0.00048009
HS6ST2,-0.680267556,0.000190184
HS6ST2,-0.781718955,0.012627021
HS6ST3,-0.906557005,1.09E-05
HS6ST3,-0.973435152,0.000404195
HSBP1,-0.851578569,1.45E-06
HSBP1,-0.67853114,0.000209746
HSBP1,-0.668346762,1.23E-19
HSD11B1-AS1,1.873595629,0.034967902
HSD11B1L,-0.55339708,0.001310316
HSD11B2,-0.89231524,0.000208897
HSD17B10,-0.83038069,0.003394675
HSD17B11,-0.523640927,0.00176052
HSD17B12,-0.719146216,0.000303653
HSD17B12,-0.506087363,0.002869623
HSD17B14,-1.142836615,5.94E-05
HSD17B14,-0.807331783,0.00047645
HSD17B14,-0.686960862,0.000724155
HSD17B14,-0.553081601,0.012457894
HSD17B4,-1.326781538,9.10E-05
HSD17B4,-0.7903293,0.000128181
HSD17B4,-1.005512197,8.49E-24
HSD17B4,-0.591764838,0.000775378
HSD17B8,-1.119047289,0.001403326
HSD3B1,-1.151661823,1.56E-05
HSD3BP4,-3.660505637,0.031461092
HSD3BP5,-3.026151833,0.002347955
HSDL1,-0.60904894,0.000131342
HSDL1,-0.560920208,0.001128662
HSF2BP,2.8460048,1.18E-06
HSF4,-1.102812936,0.04842364
HSF5,1.781015167,0.021752121
HSH2D,7.982543977,1.49E-07
HSH2D,-0.629387054,0.003547844
HSP90AA1,-1.56238195,2.70E-08
HSP90AA1,-0.889463073,4.41E-07
HSP90AA1,-0.889132733,0.000291325
HSP90AA4P,-0.718477908,1.45E-05
HSP90AA4P,-0.712086614,8.51E-06
HSP90AB1,-0.594481345,1.68E-05
HSP90AB1 /// HSP90AB3P,-0.534004865,3.24E-05
HSP90AB1 /// HSP90AB3P,-0.678969371,0.003480412
HSP90AB4P,-0.615479494,0.002077731
HSP90B1,-0.695365776,0.000903311
HSP90B1,-0.7118812,0.005359142
HSP90B1,-0.700038917,0.000539589
HSPA12A,-1.15474881,1.93E-05
HSPA12A,-0.877392439,7.07E-20
HSPA12A,-0.695941867,0.000101155
HSPA12A,-1.097060194,0.032044294
HSPA13,-0.765869948,0.049969941
HSPA1A,3.833048273,1.15E-80
HSPA1A /// HSPA1B,1.529965714,7.32E-06
HSPA1A /// HSPA1B,1.660981797,2.78E-06
HSPA1A /// HSPA1B,1.69485429,7.12E-06
HSPA1A /// HSPA1B,1.607557049,8.52E-06
HSPA1A /// HSPA1B,1.85546511,6.18E-08
HSPA1A /// HSPA1B,2.377648119,1.44E-07
HSPA1A /// HSPA1B,2.107955031,3.95E-07
HSPA1A /// HSPA1B,2.704149198,7.61E-07
HSPA1B,4.284927565,5.53E-96
HSPA1B,1.591074956,1.13E-05
HSPA1B,1.899874694,2.97E-08
HSPA1L,-1.159354363,9.08E-05
HSPA2,-0.636579386,0.000444149
HSPA4,-1.307639085,7.19E-08
HSPA4,-1.232176842,0.003304204
HSPA4,-1.445988569,0.000471152
HSPA4L,-0.692622857,0.000256154
HSPA4L,-0.812959911,3.75E-40
HSPA4L,-0.753132606,0.001602114
HSPA4L,-0.964376196,0.007322371
HSPA4L,-0.793860543,0.003350908
HSPA4L,-0.665828709,0.008022943
HSPA5,1.564953829,2.24E-08
HSPA5,2.106696573,6.93E-09
HSPA5,2.125983896,1.18E-09
HSPA5,2.205315799,2.01E-09
HSPA5,2.242166272,2.71E-09
HSPA5,2.3412471,1.98E-09
HSPA5,1.622741564,2.68E-07
HSPA5,1.899070121,1.27E-06
HSPA5,1.647362431,0.003067904
HSPA5,1.633421725,0.003105275
HSPA5,1.503230128,0.007082614
HSPA5,2.324859498,0.005277195
HSPA5,2.27411608,0.006224645
HSPA5,2.023488578,0.008340434
HSPA6,3.801547789,3.86E-08
HSPA6,2.84898946,1.00E-05
HSPA6,3.762056827,8.12E-07
HSPA6,3.573265404,1.31E-06
HSPA6 /// HSPA7,3.907766319,8.19E-09
HSPA6 /// HSPA7,3.092359196,2.10E-08
HSPA6 /// HSPA7,4.48903798,7.28E-08
HSPA6 /// HSPA7,3.478492728,3.03E-08
HSPA8,-0.689446425,1.38E-05
HSPA8,-0.676875455,3.80E-06
HSPA8,-0.666122214,5.83E-06
HSPA8,-0.614418626,1.33E-05
HSPB1,-0.582367695,0.001913543
HSPB1,2.710425666,0.000190091
HSPB1,2.809960866,0.000196179
HSPB1,5.396722189,3.14E-185
HSPB1,-1.048199472,0.003452958
HSPB11,-0.538832455,9.04E-05
HSPB11,-1.286540866,4.09E-07
HSPB7,-2.762684478,0.040141281
HSPB7,4.7013063,0.000104157
HSPB8,1.546861011,8.16E-06
HSPB8,2.34934328,9.69E-63
HSPB8,2.107373338,6.10E-07
HSPB9,2.337046544,0.040432979
HSPBP1,-0.549299094,0.003986291
HSPE1,-0.582466511,1.78E-05
HSPE1,-0.52132505,0.000486382
HSPE1,-0.877274235,2.06E-05
HSPE1 /// HSPE1-MOB4,-0.60299988,2.39E-05
HSPE1 /// HSPE1-MOB4,-0.596858918,1.31E-05
HSPE1 /// HSPE1-MOB4,-0.633851044,0.000341472
HSPE1 /// HSPE1-MOB4,-1.089944351,4.29E-05
HSPE1 /// HSPE1-MOB4,-0.622994199,0.001163603
HSPE1P4,5.672098005,0.001984589
HSPG2,-0.859863933,7.23E-05
HSPG2,-2.845364404,0.000739524
HSPG2,-0.741963422,0.000989322
HSPH1,-0.505363288,0.000756406
HSPH1,-0.726270359,0.009294144
HSPH1,-0.568362353,0.002043132
HSPH1,1.728253388,4.02E-07
HSPH1,1.530187699,4.20E-06
HSPH1,1.560889353,5.93E-06
HSPH1,-0.739189633,0.002869441
HTATSF1,-0.709551638,1.72E-05
HTATSF1,-0.886306661,0.000629012
HTR1A,-0.93109048,0.000204769
HTR1A,-0.779750201,6.48E-06
HTR1B,-0.528435945,0.004084164
HTR1D,-0.71058726,0.014661861
HTR1F,-1.590221069,3.93E-27
HTR2A,2.795177666,0.02497858
HTR2C,5.329198105,0.000119274
HTR2C,-1.398776022,1.09E-05
HTR2C,-1.324184052,2.80E-39
HTR2C,-1.24531899,2.00E-05
HTR2C,-0.741215599,0.029077928
HTR5A,-1.086156936,1.83E-10
HTR7,-3.136829249,0.007683841
HTR7P1,-0.77523878,0.001207351
HTRA1,-3.304333835,1.08E-10
HTRA1,-0.703601638,0.000374797
HTRA2,-0.634480045,0.000141984
HTRA2,-0.691887054,0.000446856
HTRA4,2.33213691,9.82E-06
HTT,-1.075710156,0.003574021
HUNK,-0.566680891,0.000379344
HUS1,1.534158955,2.68E-05
HUWE1,-1.167576667,1.44E-07
HUWE1,-0.764816627,0.000800573
HUWE1,-0.75212503,9.49E-38
HUWE1,-0.669443913,0.001368938
HUWE1,-0.688374581,0.013149492
HVCN1,-0.600768823,9.47E-05
HVCN1,-0.583830032,0.000867338
HVCN1,-0.887646053,0.024184128
HVCN1,2.099335536,7.06E-16
HYAL1,-0.754252646,0.000194118
HYAL1,-0.613858674,0.001700191
HYAL1,-0.557031601,0.006176732
HYAL1,-0.533673504,0.02380044
HYAL2,-0.5548214,2.87E-05
HYAL2,-0.793040232,0.000909012
HYKK,-0.676874068,5.74E-05
HYKK,-1.675359004,2.08E-07
HYOU1,1.674392538,1.22E-07
HYOU1,1.791500236,1.72E-08
HYOU1,1.958207953,7.24E-09
HYOU1,1.64265977,4.20E-07
HYOU1,1.674240807,6.97E-06
HYOU1,-0.533092443,0.001681752
HYOU1,-0.739213509,0.042713124
HYOU1,-0.573259738,0.002621569
HYOU1,-0.800567463,0.045602142
I830012O16RIK,4.441575717,5.98E-10
I830012O16RIK,4.407986662,3.66E-10
I830012O16RIK,3.652232868,0.000217325
I830077J02RIK,1.782981886,2.83E-09
I830127L07RIK,2.622261901,4.66E-06
IARS1,-1.703301134,0.040239595
IARS2,-0.777712794,0.009200733
IARS2,-0.677308671,4.61E-12
IARS2,-0.518436379,0.001421003
IBA57,-0.571294919,0.016201308
ICA1,-0.696205977,0.01544988
ICA1L,-1.135411927,7.42E-06
ICA1L,-0.634860164,1.23E-09
ICA1L,-0.610278166,0.000327835
ICA1L,-0.580227935,0.009569717
ICAM1,1.570610705,9.10E-08
ICAM1,2.358487295,1.31E-06
ICAM1,5.151325702,7.75E-219
ICAM1,2.301473217,0.000184532
ICAM1,3.683991884,0.000320339
ICAM1,3.710536718,0.000259627
ICAM1,3.721502169,0.000307159
ICAM1,3.724320959,0.000284522
ICAM1,3.834796224,0.000294693
ICAM1,3.841254007,0.000260019
ICAM1,3.842746537,0.000330756
ICAM1,3.850531539,0.000301359
ICAM1,3.852679438,0.00033126
ICAM1,3.867400579,0.000350228
ICAM2,1.501624859,0.00015966
ICAM3,-0.525974141,0.001151074
ICAM4,-0.519929694,4.32E-05
ICAM4,-0.511285123,0.001281957
ICAM4,-0.688968432,0.00296741
ICAM4,-0.638143062,0.00336276
ICAM5,-1.245709703,0.016711964
ICAM5,-1.148814458,6.38E-06
ICAM5,-2.915042174,8.25E-133
ICAM5,-1.138995097,5.40E-05
ICE2,-0.733914485,0.001409743
ICE2,-0.520309269,0.00075982
ICE2,-0.541561701,0.004448404
ICK,-0.616916194,0.026269906
ICMT,-1.082773744,4.90E-07
ICMT,-0.604549601,1.94E-05
ICMT,-0.975739559,0.009635116
ICMT,-0.731169795,2.72E-05
ICMT,-0.76800534,3.93E-05
ICMT,-0.79854325,0.000171794
ICOS,1.623139479,0.000132862
ICOS,6.126305526,1.73E-29
ICOSL,2.148991255,6.90E-34
ID1,1.882235441,9.90E-34
ID3,-1.170264924,0.008296673
ID4,-0.944472326,1.70E-06
ID4,-0.865903208,7.74E-05
ID4,-2.136998268,6.95E-89
ID4,-1.181587572,0.013382427
ID4,-0.752407059,0.022718475
IDH1,-0.586750354,2.23E-05
IDH1,-0.581696553,2.33E-05
IDH1,-0.553395325,2.83E-05
IDH1,-1.051472405,0.000258257
IDH1,-1.22233899,5.70E-32
IDH1,-0.667563168,0.000562928
IDH2,-0.862068188,1.83E-06
IDH2,-0.643509271,9.34E-05
IDH2,-0.907289164,3.41E-12
IDH2,-0.828334732,7.27E-05
IDH2,-0.811335409,0.000103794
IDH2,-0.699498344,0.0001894
IDH2,-0.607849676,0.001864642
IDH3A,-0.691765184,0.000186916
IDH3A,-0.874590793,3.58E-27
IDH3B,-0.693712275,1.73E-19
IDH3B,-0.670002227,0.002239483
IDH3B,-0.56139163,0.000963161
IDH3B,-0.542871504,0.002391934
IDH3G,-0.771973755,3.24E-16
IDI1,-1.050264107,0.000922355
IDI1,-1.124957822,0.001652649
IDI1,-1.321740065,1.86E-17
IDI1,-0.535499741,0.002440954
IDI1,-1.234556488,0.011967419
IDI2,3.341209401,0.000922714
IDNK,-0.918030072,4.66E-05
IDO1,4.12907668,3.52E-08
IDO1,4.330870939,1.36E-07
IDO2,2.943537983,0.000981043
IDS,-1.20610194,2.82E-06
IDS,-1.34864079,1.18E-81
IDS,-0.932850431,0.002049067
IER2,2.402829615,7.25E-41
IER2,2.057361036,0.035699061
IER3,2.314952459,3.09E-34
IER3,1.564570833,0.000924396
IER5L,-0.53775521,6.46E-05
IFFO2,-0.818726684,1.23E-06
IFI16,-0.607374551,0.014166695
IFI16,2.689494584,4.97E-08
IFI16,2.680291063,6.08E-08
IFI16,2.985079438,1.54E-05
IFI16,1.933483952,1.73E-05
IFI16,1.941889895,2.12E-05
IFI16,2.388198511,0.000131246
IFI202B,3.869038961,2.09E-08
IFI202B,5.085532508,0.000283274
IFI202B,3.852618806,3.35E-07
IFI202B,5.304848783,0.01083949
IFI203,3.015085062,6.19E-07
IFI203,5.581389381,2.72E-155
IFI203,2.27548156,2.87E-05
IFI203,2.292998474,0.047849761
IFI203-PS,5.517256904,6.52E-36
IFI204,5.133522644,3.07E-11
IFI204,8.19347073,1.12E-194
IFI204,5.369314181,5.88E-10
IFI204,4.661926437,0.016551526
IFI204,5.148644791,0.011702859
IFI205,4.359184452,4.24E-08
IFI205,11.32168314,2.07E-28
IFI205,4.135225058,1.02E-09
IFI206,7.781598322,6.45E-86
IFI207,8.251463442,3.58E-150
IFI208,8.18769873,2.50E-42
IFI209,7.939945366,6.76E-150
IFI211,6.985143616,2.18E-140
IFI213,7.28907457,1.32E-124
IFI214,7.710301995,1.53E-13
IFI27,3.670693509,1.21E-08
IFI27,2.681705053,1.42E-07
IFI27,3.004159464,3.85E-07
IFI27,1.818005567,5.15E-07
IFI27,4.480855118,3.10E-08
IFI27,5.441563132,2.68E-08
IFI27,4.425080996,6.91E-08
IFI27,4.475591942,2.12E-08
IFI27,2.572597292,4.37E-06
IFI27,4.504489995,0.009050398
IFI27,4.569468044,0.010091195
IFI27,4.629757308,0.011588994
IFI27L2,-1.206776882,0.005076432
IFI27L2,-0.527282152,0.005078975
IFI27L2A,2.743755276,5.88E-06
IFI27L2A,6.830798191,1.89E-220
IFI27L2B,3.561652379,0.008592898
IFI30,-0.829368592,5.71E-05
IFI30,1.738833866,1.84E-06
IFI30,-1.037533291,0.000296566
IFI30,2.517245976,0.029673951
IFI35,2.494848522,1.86E-07
IFI35,1.89890154,2.49E-06
IFI35,2.777923353,7.65E-07
IFI35,3.000615803,2.62E-08
IFI35,2.892002652,1.97E-07
