Genes,logFC,P.Value
2310026I22RIK,-1.248458656,0.020380556
2310030A07RIK,4.540907818,0.029099998
2310039L15RIK,3.606884429,0.006986328
2310043O21RIK,2.628551464,0.015040303
2310044G17RIK,-0.804204407,0.003124015
2310044G17RIK,-0.750795584,0.003291085
2310044H10RIK,-0.722067222,0.007059462
2310045A20RIK,-0.720532524,0.001161241
2310046A06RIK,-0.721771459,0.009143767
2310047D07RIK,-1.917846722,0.016389987
2310057J18RIK,5.054302869,0.008747995
2310061C15RIK,-1.264610305,0.002076288
2310061C15RIK,-1.217418316,0.005000226
2310061C15RIK,-0.548064484,0.013263985
2310061I04RIK,-0.737123757,9.91E-07
2310067B10RIK,-0.614075765,0.000158296
2310067E19RIK,-0.924467417,2.64E-05
2310067E19RIK,-0.587152571,0.010628937
2410002O22RIK,-0.685148971,0.009667639
2410006H16RIK,1.810505396,1.52E-39
2410015M20RIK,-0.579777588,0.001679738
2410017P07RIK,-0.52537174,0.003555651
2410022L05RIK,-0.527360836,0.005096658
2410066E13RIK,-1.105776738,5.04E-05
2500004C02RIK,-1.767021221,2.23E-07
2510002D24RIK,-0.582822443,0.000342272
2510002D24RIK,-0.934460671,3.90E-05
2510003B16RIK,-1.281979318,3.77E-18
2510009E07RIK,-0.517620349,0.026801493
2610002J23RIK,-0.527690657,0.019327106
2610002M06RIK,-0.558044459,0.002451128
2610002M06RIK,-0.643189485,4.27E-08
2610008E11RIK,-0.560863979,0.002939424
2610015P09RIK,-0.752791476,0.021223563
2610018G03RIK,-0.615820698,0.000707523
2610027F03RIK,2.595468576,0.000919121
2610027K06RIK,2.084290153,0.013817117
2610028E06RIK,1.705622368,0.000755654
2610034B18RIK,-0.508566399,0.001904757
2610035D17RIK,-0.550959254,8.21E-05
2610042L04RIK,2.242408684,8.40E-07
2610044O15RIK,-0.601655639,0.008226432
2610044O15RIK8,-1.635895986,4.26E-33
2610100L16RIK,-0.932192691,0.039056149
2610110G12RIK,-0.686235531,3.61E-05
2610110G12RIK,-0.933233876,0.002553067
2610204M08RIK,-0.644891782,2.61E-05
2610204M08RIK,-0.529693319,0.021517843
2610301F02RIK,-0.696709624,0.025932136
2610306M01RIK,-0.698554538,0.033483902
2610316D01RIK,-1.691581108,8.90E-18
2610318N02RIK,1.808174289,0.041971739
2610507I01RIK,-1.511728002,3.10E-13
2610524H06RIK,-0.846671228,0.000279571
